latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.4095,13.30572,314.29,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,289.01,3.07,N
51.40996,13.29854,302.13,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,287.07,1.69,N
51.4102,13.3638,303.68,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,285.41,1.53,N
51.41044,13.29132,313.68,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,284.92,1.69,N
51.41401,13.30649,310.81,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,286.49,1.72,N
51.41448,13.29931,318.12,0.49,0.49,2025-07-04,35,N,VIIRS,n,2.0NRT,286.33,2.94,N
51.4147,13.36457,310,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,285.35,1.53,N
51.41518,13.35741,299.57,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,283.95,1.7,N
51.42016,13.35105,299.05,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,283.99,1.62,N
51.46231,35.48128,308.69,0.52,0.5,2025-07-04,35,N,VIIRS,n,2.0NRT,285.3,1.5,N
51.59256,8.3352,302.15,0.4,0.6,2025-07-04,35,N,VIIRS,n,2.0NRT,282.46,0.76,N
51.59529,8.33532,304.86,0.4,0.6,2025-07-04,35,N,VIIRS,n,2.0NRT,283.72,1.01,N
51.5982,8.33534,296.86,0.4,0.6,2025-07-04,35,N,VIIRS,n,2.0NRT,284.28,0.96,N
51.60094,8.3355,296.28,0.4,0.6,2025-07-04,35,N,VIIRS,n,2.0NRT,284.28,0.73,N
